Country,latitude,longitude,crs
American Samoa,-12.304556,-164.726306,EPSG:4326
Cook Islands,-22.2335,-159.77525,EPSG:4326
Fiji,-20.827278,177.087111,EPSG:4326
French Polynesia,-17.650694,-149.461444,EPSG:4326
Guam,12.438194,142.760222,EPSG:4326
Kiribati,0.061333,-154.413861,EPSG:4326
Marshall Islands,8.192583,169.041472,EPSG:4326
Federated States of Micronesia,7.859167,158.240056,EPSG:4326
Nauru,0.526306,166.937583,EPSG:4326
New Caledonia,-23.415056,165.458111,EPSG:4326
Niue,-17.063972,-168.867306,EPSG:4326
Northern Mariana Islands,16.115528,147.703639,EPSG:4326
Palau,7.460889,134.558667,EPSG:4326
Papua New Guinea,-6.440806,145.063806,EPSG:4326
Wallis and Futuna,-13.309028,176.110556,EPSG:4326
Pitcairn Islands,-24.373944,-128.326139,EPSG:4326
Samoa,-9.615056,-177.450056,EPSG:4326
Solomon Islands,-9.617306,159.786722,EPSG:4326
Tokelau,-6.166972,-167.823639,EPSG:4326
Tonga,-19.791472,-174.34,EPSG:4326
Tuvalu,-5.520056,176.096333,EPSG:4326
Vanuatu,-15.343472,166.940778,EPSG:4326
