Country, Latitude, Longitude
American Samoa, 14°18'16.4"S, 170°43'34.7"W
Cook Islands, 21°14'00.6"S, 159°46'30.9"W
Fiji, 17°49'38.2"S, 178°05'13.6"E
French Polynesia, 17°39'02.5"S, 149°27'41.2"W
Guam, 13°26'17.5"N, 144°45'36.8"E
Kiribati, 1°51'40.8"N, 157°24'49.9"W
Marshall Islands, 7°11'33.3"N, 169°02'29.3"E
Federated States of Micronesia, 6°51'33.0"N, 158°14'24.2"E
Nauru, 0°31'34.7"S, 166°56'15.3"E
New Caledonia, 21°24'54.2"S, 165°27'29.2"E
Niue, 19°03'50.3"S, 169°52'02.3"W
Northern Mariana Islands, 15°06'55.9"N, 145°42'13.1"E
Palau, 7°27'39.2"N, 134°33'31.2"E
Papua New Guinea, 6°26'26.9"S, 145°03'49.7"E
Wallis and Futuna, 14°18'32.5"S, 178°06'38.0"W
Pitcairn Islands, 24°22'26.2"S, 128°19'34.1"W
Samoa, 13°36'54.2"S, 172°27'00.2"W
Solomon Islands, 9°37'02.3"S, 159°47'12.2"E
Tokelau, 9°10'01.1"S, 171°49'25.1"W
Tonga, 19°47'29.3"S, 174°20'24.0"W
Tuvalu, 8°31'12.2"S 179°05'46.8"E
Vanuatu, 15°20'36.5"S, 166°56'26.8"E
