Country,latitude,longitude,crs
American Samoa,-14.304556,-170.726306,EPSG:4326
Cook Islands,-21.2335,-159.77525,EPSG:4326
Fiji,-17.827278,178.087111,EPSG:4326
French Polynesia,-17.650694,-149.461444,EPSG:4326
Guam,13.438194,144.760222,EPSG:4326
Kiribati,1.861333,-157.413861,EPSG:4326
Marshall Islands,7.192583,169.041472,EPSG:4326
Micronesia Fed. Sts.,6.859167,158.240056,EPSG:4326
Nauru,-0.526306,166.937583,EPSG:4326
New Caledonia,-21.415056,165.458111,EPSG:4326
Niue,-19.063972,-169.867306,EPSG:4326
Northern Mariana Islands,15.115528,145.703639,EPSG:4326
Palau,7.460889,134.558667,EPSG:4326
Papua New Guinea,-6.440806,145.063806,EPSG:4326
Pitcairn Islands,-24.373944,-128.326139,EPSG:4326
Samoa,-13.615056,-172.450056,EPSG:4326
Solomon Islands,-9.617306,159.786722,EPSG:4326
Tokelau,-9.166972,-171.823639,EPSG:4326
Tonga,-19.791472,-174.34,EPSG:4326
Tuvalu,-8.520056,179.096333,EPSG:4326
Vanuatu,-15.343472,166.940778,EPSG:4326
