country,country_code,area_km2
French Polynesia,PF,4778401
Kiribati,KI,3441229
"Micronesia, Fed. Sts.",FM,3013629
Papua New Guinea,PG,2862403
Marshall Islands,MH,2004305
Cook Islands,CK,1969814
Solomon Islands,SB,1633806
Fiji,FJ,1303022
New Caledonia,NC,1198283
Pitcairn Islands,PN,842291
Northern Mariana Islands,MP,764117
Tuvalu,TV,753175
Tonga,TO,666812
Vanuatu,VU,635761
Palau,PW,615371
American Samoa,AS,406038
Tokelau,TK,320756
Niue,NU,318407
Nauru,NR,309283
Wallis and Futuna,WF,262926
Guam,GU,208784
Samoa,WS,133334
