country,country_code,latitude,longitude,eez_part,area_km2,crs
French Polynesia,PF,-18.73634,-144.00327,French Polynesia,4766689,EPSG:4326
"Micronesia, Fed. Sts.",FM,6.76843,150.32248,Micronesia,3007718,EPSG:4326
Papua New Guinea,PG,-5.45663,150.71973,Papua New Guinea,2399617,EPSG:4326
Marshall Islands,MH,10.15136,167.48547,Marshall Islands,2002220,EPSG:4326
Cook Islands,CK,-15.01891,-161.30341,Cook Islands,1969553,EPSG:4326
Kiribati,KI,-3.82154,-154.72634,Line Group,1641193,EPSG:4326
Solomon Islands,SB,-10.04465,163.68539,Solomon Islands,1602781,EPSG:4326
Fiji,FJ,-17.94847,93.67735,Fiji,1302114,EPSG:4326
New Caledonia,NC,-21.01871,163.20377,New Caledonia,1175971,EPSG:4326
Pitcairn Islands,PN,-24.60623,-127.42131,Pitcairn,842291,EPSG:4326
Northern Mariana Islands,MP,18.2866,145.73933,Northern Mariana Islands,763626,EPSG:4326
Tuvalu,TV,-7.81254,74.28785,Tuvalu,753133,EPSG:4326
Tonga,TO,-20.22175,-174.76586,Tonga,666052,EPSG:4326
Vanuatu,VU,-16.58523,168.55743,Vanuatu,625850,EPSG:4326
Palau,PW,6.44393,133.0695,Palau,616431,EPSG:4326
American Samoa,AS,-13.85484,-169.06347,American Samoa,405830,EPSG:4326
Tokelau,TK,-8.63257,-172.08495,Tokelau,320548,EPSG:4326
Niue,NU,-19.52315,-169.33138,Niue,318140,EPSG:4326
Nauru,NR,-0.59113,166.12396,Nauru,309261,EPSG:4326
Wallis and Futuna,WF,-12.75492,-176.81123,Wallis and Futuna,250614,EPSG:4326
Guam,GU,12.92958,144.00261,Guam,208234,EPSG:4326
Samoa,WS,-13.29687,-172.75372,Samoa,130480,EPSG:4326
