country,country_code,number_of_islands,source,atolls,notes
American Samoa,AS,7,wikipedia,2,
Cook Islands,CK,15,wikipedia,1,
Fiji,FJ,330,wikipedia,0,
French Polynesia,PF,121,wikipedia,87,
Guam,GU,1,wikipedia,0,
Kiribati,KI,33,wikipedia,32,
Marshall Islands,MH,34,pacific risa,29,
"Micronesia, Fed. Sts.",FM,607,wikipedia,1,
Nauru,NR,1,wikipedia,0,
New Caledonia,NC,135,,1,
Niue,NU,1,wikipedia,0,
Northern Mariana Islands,MP,14,wikipedia,0,
Palau,PW,340,wikipedia,1,
Papua New Guinea,PG,600,wikipedia,1,
Pitcairn Islands,PN,4,wikipedia,1,
Samoa,WS,10,,0,
Solomon Islands,SB,1000,wikipedia,1,
Tokelau,TK,3,wikipedia,3,
Tonga,TO,171,wikipedia,,
Tuvalu,TV,9,wikipedia,6,
Vanuatu,VU,83,wikipedia,,
Wallis and Futuna,WF,3,wikipedia,0,
