,Country Name,Year,Land Cover,Country Code,Population
0,"Micronesia, Fed. Sts.",2023,700.0,FSM,112630.0
1,Tokelau,2023,10.0,TK,2424.0
2,Wallis and Futuna,2023,142.0,TK,11400.0
3,New Caledonia,2023,18280.0,NCL,289870.0
4,Northern Mariana Islands,2023,460.0,MNP,45143.0
5,Samoa,2023,2780.0,WSM,216663.0
6,Solomon Islands,2023,27990.0,SLB,800005.0
7,Fiji,2023,18270.0,FJI,924145.0
8,Tonga,2023,720.0,TON,104597.0
9,Vanuatu,2023,12190.0,VUT,320409.0
10,Marshall Islands,2023,180.0,MHL,38827.0
11,Guam,2023,540.0,GUM,166506.0
12,Cook Islands,2023,240.0,CK,14222.0
13,Tuvalu,2023,30.0,TUV,9816.0
14,Kiribati,2023,810.0,KIR,132530.0
15,Nauru,2023,20.0,NRU,11875.0
16,Palau,2023,460.0,PLW,17727.0
17,American Samoa,2023,200.0,ASM,47521.0
18,Pitcairn Islands,2023,47.0,PN,50.0
19,Niue,2023,260.0,NU,1817.0
20,Papua New Guinea,2023,452860.0,PNG,10389635.0
21,French Polynesia,2023,3471.0,PYF,281118.0
