Country Name,Country Code,2023,2024,2025
American Samoa,ASM,47521.0,46765.0,46029.0
Fiji,FJI,924145.0,928784.0,933154.0
"Micronesia, Fed. Sts.",FSM,112630.0,113683.0,113683.0
Guam,GUM,166506.0,167777.0,168999.0
Kiribati,KIR,132530.0,134518.0,136488.0
Marshall Islands,MHL,38827.0,37548.0,36282.0
Northern Mariana Islands,MNP,45143.0,44278.0,43541.0
New Caledonia,NCL,289870.0,292639.0,295333.0
Nauru,NRU,11875.0,11947.0,12025.0
Palau,PLW,17727.0,17695.0,17663.0
Papua New Guinea,PNG,10389635.0,10576502.0,10762817.0
French Polynesia,PYF,281118.0,281807.0,282465.0
Solomon Islands,SLB,800005.0,819198.0,838645.0
Tonga,TON,104597.0,104175.0,103742.0
Tuvalu,TUV,9816.0,9646.0,9492.0
Vanuatu,VUT,320409.0,327777.0,335169.0
Samoa,WSM,216663.0,218019.0,219306.0
Cook Islands,CK,14222.0,13729,13263
Niue,NU,1817.0,1819,1821
Pitcairn Islands,PN,50.0,50.0,50.0
Tokelau,TK,2397.0,2506,2608
Wallis and Futuna,TK,11370.0,11277,11194
