,Entity,Code,Year,all years
0,American Samoa,ASM,1950,19070
1,American Samoa,ASM,1951,19450
2,American Samoa,ASM,1952,19576
3,American Samoa,ASM,1953,19691
4,American Samoa,ASM,1954,19782
5,American Samoa,ASM,1955,19877
6,American Samoa,ASM,1956,19960
7,American Samoa,ASM,1957,19983
8,American Samoa,ASM,1958,19950
9,American Samoa,ASM,1959,19931
10,American Samoa,ASM,1960,20159
11,American Samoa,ASM,1961,20686
12,American Samoa,ASM,1962,21317
13,American Samoa,ASM,1963,21992
14,American Samoa,ASM,1964,22692
15,American Samoa,ASM,1965,23429
16,American Samoa,ASM,1966,24157
17,American Samoa,ASM,1967,24891
18,American Samoa,ASM,1968,25629
19,American Samoa,ASM,1969,26393
20,American Samoa,ASM,1970,27052
21,American Samoa,ASM,1971,27556
22,American Samoa,ASM,1972,28019
23,American Samoa,ASM,1973,28465
24,American Samoa,ASM,1974,28896
25,American Samoa,ASM,1975,29407
26,American Samoa,ASM,1976,29981
27,American Samoa,ASM,1977,30543
28,American Samoa,ASM,1978,31098
29,American Samoa,ASM,1979,31632
30,American Samoa,ASM,1980,32427
31,American Samoa,ASM,1981,33606
32,American Samoa,ASM,1982,34937
33,American Samoa,ASM,1983,36291
34,American Samoa,ASM,1984,37690
35,American Samoa,ASM,1985,39128
36,American Samoa,ASM,1986,40588
37,American Samoa,ASM,1987,42095
38,American Samoa,ASM,1988,43634
39,American Samoa,ASM,1989,45207
40,American Samoa,ASM,1990,46659
41,American Samoa,ASM,1991,47903
42,American Samoa,ASM,1992,49054
43,American Samoa,ASM,1993,50178
44,American Samoa,ASM,1994,51273
45,American Samoa,ASM,1995,52339
46,American Samoa,ASM,1996,53378
47,American Samoa,ASM,1997,54385
48,American Samoa,ASM,1998,55354
49,American Samoa,ASM,1999,56267
50,American Samoa,ASM,2000,56877
51,American Samoa,ASM,2001,57072
52,American Samoa,ASM,2002,57081
53,American Samoa,ASM,2003,56988
54,American Samoa,ASM,2004,56841
55,American Samoa,ASM,2005,56638
56,American Samoa,ASM,2006,56391
57,American Samoa,ASM,2007,56134
58,American Samoa,ASM,2008,55848
59,American Samoa,ASM,2009,55542
60,American Samoa,ASM,2010,55246
61,American Samoa,ASM,2011,54917
62,American Samoa,ASM,2012,54506
63,American Samoa,ASM,2013,54026
64,American Samoa,ASM,2014,53489
65,American Samoa,ASM,2015,52896
66,American Samoa,ASM,2016,52260
67,American Samoa,ASM,2017,51605
68,American Samoa,ASM,2018,50927
69,American Samoa,ASM,2019,50230
70,American Samoa,ASM,2020,49779
71,American Samoa,ASM,2021,49249
72,American Samoa,ASM,2022,48365
73,American Samoa,ASM,2023,47544
74,Cook Islands,COK,1950,14714
75,Cook Islands,COK,1951,15075
76,Cook Islands,COK,1952,15363
77,Cook Islands,COK,1953,15631
78,Cook Islands,COK,1954,15908
