GEO_PICT,TIME_PERIOD,value,REF_AREA,COUNTRY
WF,1990,0.1,WF,Wallis and Futuna
WF,1991,0.3,WF,Wallis and Futuna
WF,1992,0.1,WF,Wallis and Futuna
WF,1993,0.0,WF,Wallis and Futuna
WF,1994,0.2,WF,Wallis and Futuna
WF,1995,0.3,WF,Wallis and Futuna
WF,1996,0.1,WF,Wallis and Futuna
WF,1997,0.0,WF,Wallis and Futuna
WF,1998,-0.2,WF,Wallis and Futuna
WF,1999,0.1,WF,Wallis and Futuna
WF,2000,0.3,WF,Wallis and Futuna
WF,2001,0.3,WF,Wallis and Futuna
WF,2002,0.4,WF,Wallis and Futuna
WF,2003,0.5,WF,Wallis and Futuna
WF,2004,0.5,WF,Wallis and Futuna
WF,2005,0.5,WF,Wallis and Futuna
WF,2006,0.4,WF,Wallis and Futuna
WF,2007,0.5,WF,Wallis and Futuna
WF,2008,0.2,WF,Wallis and Futuna
WF,2009,0.4,WF,Wallis and Futuna
WF,2010,0.4,WF,Wallis and Futuna
WF,2011,0.2,WF,Wallis and Futuna
WF,2012,0.4,WF,Wallis and Futuna
WF,2013,0.5,WF,Wallis and Futuna
WF,2014,0.6,WF,Wallis and Futuna
WF,2015,0.4,WF,Wallis and Futuna
WF,2016,0.6,WF,Wallis and Futuna
WF,2017,0.6,WF,Wallis and Futuna
WF,2018,0.5,WF,Wallis and Futuna
WF,2019,0.7,WF,Wallis and Futuna
WF,2020,0.6,WF,Wallis and Futuna
WF,2021,0.4,WF,Wallis and Futuna
WF,2022,0.4,WF,Wallis and Futuna
WF,2023,0.6,WF,Wallis and Futuna
WF,2024,0.7,WF,Wallis and Futuna
WF,2025,0.5,WF,Wallis and Futuna
SB,1990,0.1,SB,Solomon Islands
SB,1991,0.1,SB,Solomon Islands
SB,1992,-0.4,SB,Solomon Islands
SB,1993,-0.7,SB,Solomon Islands
SB,1994,-0.2,SB,Solomon Islands
SB,1995,0.4,SB,Solomon Islands
SB,1996,0.4,SB,Solomon Islands
SB,1997,-0.2,SB,Solomon Islands
SB,1998,0.3,SB,Solomon Islands
SB,1999,0.3,SB,Solomon Islands
SB,2000,0.4,SB,Solomon Islands
SB,2001,0.4,SB,Solomon Islands
SB,2002,0.3,SB,Solomon Islands
SB,2003,0.5,SB,Solomon Islands
SB,2004,0.3,SB,Solomon Islands
SB,2005,0.5,SB,Solomon Islands
SB,2006,0.3,SB,Solomon Islands
SB,2007,0.6,SB,Solomon Islands
SB,2008,0.3,SB,Solomon Islands
SB,2009,0.4,SB,Solomon Islands
SB,2010,0.5,SB,Solomon Islands
SB,2011,0.5,SB,Solomon Islands
SB,2012,0.3,SB,Solomon Islands
SB,2013,0.4,SB,Solomon Islands
SB,2014,0.5,SB,Solomon Islands
SB,2015,0.1,SB,Solomon Islands
SB,2016,0.7,SB,Solomon Islands
SB,2017,0.8,SB,Solomon Islands
SB,2018,0.6,SB,Solomon Islands
SB,2019,0.5,SB,Solomon Islands
SB,2020,0.8,SB,Solomon Islands
SB,2021,0.6,SB,Solomon Islands
SB,2022,0.8,SB,Solomon Islands
SB,2023,0.6,SB,Solomon Islands
SB,2024,0.9,SB,Solomon Islands
SB,2025,1.0,SB,Solomon Islands
CK,1990,-0.1,CK,Cook Islands
CK,1991,0.3,CK,Cook Islands
CK,1992,0.3,CK,Cook Islands
CK,1993,0.1,CK,Cook Islands
CK,1994,0.2,CK,Cook Islands
CK,1995,0.2,CK,Cook Islands
CK,1996,0.1,CK,Cook Islands
CK,1997,0.0,CK,Cook Islands
CK,1998,0.0,CK,Cook Islands
CK,1999,0.2,CK,Cook Islands
CK,2000,0.2,CK,Cook Islands
CK,2001,0.2,CK,Cook Islands
CK,2002,0.4,CK,Cook Islands
CK,2003,0.5,CK,Cook Islands
CK,2004,0.6,CK,Cook Islands
CK,2005,0.5,CK,Cook Islands
CK,2006,0.5,CK,Cook Islands
CK,2007,0.5,CK,Cook Islands
CK,2008,0.2,CK,Cook Islands
CK,2009,0.5,CK,Cook Islands
CK,2010,0.6,CK,Cook Islands
CK,2011,0.1,CK,Cook Islands
CK,2012,0.3,CK,Cook Islands
CK,2013,0.4,CK,Cook Islands
CK,2014,0.5,CK,Cook Islands
CK,2015,0.4,CK,Cook Islands
CK,2016,0.6,CK,Cook Islands
CK,2017,0.6,CK,Cook Islands
CK,2018,0.4,CK,Cook Islands
CK,2019,0.6,CK,Cook Islands
CK,2020,0.6,CK,Cook Islands
CK,2021,0.5,CK,Cook Islands
CK,2022,0.2,CK,Cook Islands
CK,2023,0.5,CK,Cook Islands
CK,2024,0.6,CK,Cook Islands
CK,2025,0.5,CK,Cook Islands
TK,1990,0.2,TK,Tokelau
TK,1991,0.5,TK,Tokelau
TK,1992,0.4,TK,Tokelau
TK,1993,0.3,TK,Tokelau
TK,1994,0.5,TK,Tokelau
TK,1995,0.4,TK,Tokelau
TK,1996,0.0,TK,Tokelau
TK,1997,0.2,TK,Tokelau
TK,1998,-0.1,TK,Tokelau
TK,1999,-0.4,TK,Tokelau
TK,2000,-0.3,TK,Tokelau
TK,2001,0.1,TK,Tokelau
TK,2002,0.5,TK,Tokelau
TK,2003,0.6,TK,Tokelau
TK,2004,0.5,TK,Tokelau
TK,2005,0.4,TK,Tokelau
TK,2006,0.4,TK,Tokelau
TK,2007,0.3,TK,Tokelau
TK,2008,-0.3,TK,Tokelau
TK,2009,0.5,TK,Tokelau
TK,2010,0.2,TK,Tokelau
TK,2011,-0.4,TK,Tokelau
TK,2012,0.2,TK,Tokelau
TK,2013,0.3,TK,Tokelau
TK,2014,0.5,TK,Tokelau
TK,2015,0.9,TK,Tokelau
TK,2016,0.7,TK,Tokelau
TK,2017,0.5,TK,Tokelau
TK,2018,0.5,TK,Tokelau
TK,2019,0.8,TK,Tokelau
TK,2020,0.5,TK,Tokelau
TK,2021,0.0,TK,Tokelau
TK,2022,-0.2,TK,Tokelau
TK,2023,0.6,TK,Tokelau
